Name,Mean (ps),2*Stdev (ps)
All.day 1.part 1,47892548,3313796
All.day 1.part 2,49043597,2793164
All.day 1.whole day,63004467,5832866
All.day 2.part 1,77130057,2953950
All.day 2.part 2,74461125,4593122
All.day 2.whole day,94144828,6969550
All.day 3.part 1,349015598,27923428
All.day 3.part 2,430894781,23247140
All.day 3.whole day,832513915,42041626
All.day 4.part 1,466521251,31300710
All.day 4.part 2,459535981,22224914
All.day 4.whole day,504547462,44592520
All.day 5.part 1,893709431,53261656
All.day 5.part 2,885450459,46275970
All.day 5.whole day,1085116737,97203942
All.day 6.part 1,39244614,2780380
All.day 6.part 2,946408606,84260602
All.day 6.whole day,993505862,93744242
